timestamp,symbol,action,price,quantity,value_usd,reason,confidence,trade_type,mode
2026-05-18 07:47:19,ETHUSDT,BUY,2118.51,0.00708,15.0,"1H RSI at 24.77 is deeply oversold, signaling a high-probability bounce. 15M MACD histogram turning positive (1.4925) indicates early bullish momentum shift. Price near BB lower band on 15M. However, EMA 20 below EMA 50 on both timeframes confirms downtrend ï¿½ caution warranted. Low volume on latest candle is concern. Entry only near current support with tight stop below 24h low.",7,intraday,PAPER
2026-05-18 07:59:59,SOLUSDT,BUY,84.74,0.177012,15.0,"1H RSI at 31.9 is deep oversold territory for a mid-cap altcoin ï¿½ strong bounce setup. MACD histogram on 15M turned positive (0.0166), signaling early momentum shift. Price near lower BB on 15M and holding $83.50 support. 15M volume is low (half avg) which could mean selling exhaustion. Risk: EMA 20 still below EMA 50, no confirmed reversal yet. Playing the oversold bounce with tight risk.",7,intraday,PAPER
2026-05-18 08:00:01,NEARUSDT,BUY,1.484,10.107817,15.0,"NEAR showing oversold conditions on both 15M (RSI 33.93) and 1H (RSI 34.77) ï¿½ classic bounce setup for mid-cap alts. Price is near lower Bollinger Band (1.4837) with current price at 1.484, suggesting support zone. Despite negative MACD, the RSI 25-40 oversold bounce criteria is met. EMA compression on 1H (20 vs 50 nearly equal) signals potential reversal. Volume below average reduces conviction slightly, but risk/reward is favorable near BB lower.",7,intraday,PAPER
2026-05-18 08:00:03,DOTUSDT,BUY,1.225,12.244898,15.0,1H RSI at 22.25 is deeply oversold ï¿½ classic bounce setup for mid-cap alt. 15M RSI at 36.35 starting to stabilize with volume slightly above average (86k vs 76k avg). Price near BB lower band on 15M chart. -4.82% daily drop creates mean reversion opportunity. MACD still bearish but RSI extreme at 22 on hourly is primary trigger. Targeting bounce toward EMA20 on 1H.,7,intraday,PAPER
2026-05-18 08:00:06,LINKUSDT,BUY,9.47,1.583949,15.0,1H RSI at 31.24 is deep oversold territory for a mid-cap alt ï¿½ strong bounce setup. Price down 3.07% over last 20 candles showing exhaustion. 15M RSI at 41.68 starting to recover. Price near BB lower band support at 9.4318 with 24h low at 9.34 acting as key support. MACD histogram nearly flat suggesting selling momentum fading. Risk/reward favors a mean-reversion bounce to EMA levels.,7,intraday,PAPER
2026-05-18 08:00:09,DOGEUSDT,BUY,0.1043,143.815916,15.0,"DOGE showing extreme oversold conditions with 1H RSI at 22.3 ï¿½ deeply oversold territory signaling exhaustion of selling pressure. Price is touching BB lower band at 0.1036, historically a strong bounce zone for meme coins. -6.89% drop over 20 candles suggests capitulation. 15M RSI at 30.99 starting to stabilize. MACD histogram nearly flat (-0.0001) indicates sell momentum fading. Risk/reward highly favorable for a mean-reversion bounce back toward EMA 20.",7,intraday,PAPER
2026-05-18 08:34:39,AVAXUSDT,BUY,9.1,1.099006,10.0,"1H RSI at 29.29 is deep oversold territory ï¿½ classic bounce setup for mid-cap alts. Price is near 24h low of $8.96 with 15M RSI recovering at 38.4, showing early stabilization. However, MACD remains bearish and volume is extremely low (1548 vs 18224 avg) ï¿½ this is a concern but oversold RSI on 1H for a volatile mid-cap like AVAX signals high-probability mean reversion. Tight risk with 2:1+ reward setup.",7,intraday,PAPER
2026-05-19 06:43:32,NEARUSDT,SELL,1.621,10.107817,16.38,Automated TAKE PROFIT triggered,10,intraday,PAPER
2026-05-21 21:54:04,DOTUSDT,SELL,1.304,12.244898,15.97,Automated TAKE PROFIT triggered,10,intraday,PAPER
2026-05-21 21:54:07,AVAXUSDT,SELL,9.481,1.099006,10.42,Automated TAKE PROFIT triggered,10,intraday,PAPER
